"","datetime","condUncal","tempC","SpC","outside_std_range","wetdry"
"1",2022-06-02 22:00:00,4133.4,22.046,54.453005929963,"O","wet"
"2",2022-06-02 22:15:00,4133.4,21.951,54.453005929963,"O","wet"
"3",2022-06-02 22:30:00,3961.1,21.951,52.8069222560409,"O","wet"
"4",2022-06-02 22:45:00,4133.4,21.951,54.453005929963,"O","wet"
"5",2022-06-02 23:00:00,4305.6,21.855,56.0981342448173,"O","wet"
"6",2022-06-02 23:15:00,4477.8,21.855,57.7432625596716,"O","wet"
"7",2022-06-02 23:30:00,4822.3,21.76,61.0344745484481,"O","wet"
"8",2022-06-02 23:45:00,4133.4,21.76,54.453005929963,"O","wet"
"9",2022-06-03,4133.4,21.664,54.453005929963,"O","wet"
"10",2022-06-03 00:15:00,3961.1,21.569,52.8069222560409,"O","wet"
"11",2022-06-03 00:30:00,3961.1,21.569,52.8069222560409,"O","wet"
"12",2022-06-03 00:45:00,4477.8,21.473,57.7432625596716,"O","wet"
"13",2022-06-03 01:00:00,4133.4,21.378,54.453005929963,"O","wet"
"14",2022-06-03 01:15:00,3961.1,21.282,52.8069222560409,"O","wet"
"15",2022-06-03 01:30:00,3961.1,21.282,52.8069222560409,"O","wet"
"16",2022-06-03 01:45:00,3961.1,21.187,52.8069222560409,"O","wet"
"17",2022-06-03 02:00:00,3961.1,21.091,52.8069222560409,"O","wet"
"18",2022-06-03 02:15:00,3961.1,20.996,52.8069222560409,"O","wet"
"19",2022-06-03 02:30:00,3961.1,20.996,52.8069222560409,"O","wet"
"20",2022-06-03 02:45:00,4133.4,20.901,54.453005929963,"O","wet"
"21",2022-06-03 03:00:00,3961.1,20.805,52.8069222560409,"O","wet"
"22",2022-06-03 03:15:00,3961.1,20.71,52.8069222560409,"O","wet"
"23",2022-06-03 03:30:00,3961.1,20.71,52.8069222560409,"O","wet"
"24",2022-06-03 03:45:00,3961.1,20.615,52.8069222560409,"O","wet"
"25",2022-06-03 04:00:00,3961.1,20.615,52.8069222560409,"O","wet"
"26",2022-06-03 04:15:00,3961.1,20.519,52.8069222560409,"O","wet"
"27",2022-06-03 04:30:00,3961.1,20.519,52.8069222560409,"O","wet"
"28",2022-06-03 04:45:00,3961.1,20.424,52.8069222560409,"O","wet"
"29",2022-06-03 05:00:00,3961.1,20.329,52.8069222560409,"O","wet"
"30",2022-06-03 05:15:00,3961.1,20.329,52.8069222560409,"O","wet"
"31",2022-06-03 05:30:00,4133.4,20.329,54.453005929963,"O","wet"
"32",2022-06-03 05:45:00,3961.1,20.234,52.8069222560409,"O","wet"
