"Plot Title: 21193669"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 21193669, SEN S/N: 21193669)","Intensity, Lux (LGR S/N: 21193669, SEN S/N: 21193669)","Coupler Attached (LGR S/N: 21193669)","Host Connected (LGR S/N: 21193669)","Stopped (LGR S/N: 21193669)","End Of File (LGR S/N: 21193669)"
1,06/02/22 10:00:00 PM,22.142,2669.5,,,,
2,06/02/22 10:15:00 PM,21.855,2583.4,,,,
3,06/02/22 10:30:00 PM,21.664,2583.4,,,,
4,06/02/22 10:45:00 PM,21.473,2669.5,,,,
5,06/02/22 11:00:00 PM,21.378,2669.5,,,,
6,06/02/22 11:15:00 PM,21.378,2583.4,,,,
7,06/02/22 11:30:00 PM,21.282,2583.4,,,,
8,06/02/22 11:45:00 PM,21.282,2583.4,,,,
9,06/03/22 12:00:00 AM,21.187,2583.4,,,,
10,06/03/22 12:15:00 AM,21.187,2583.4,,,,
11,06/03/22 12:30:00 AM,21.091,2497.2,,,,
12,06/03/22 12:45:00 AM,20.996,2497.2,,,,
13,06/03/22 01:00:00 AM,20.901,2497.2,,,,
14,06/03/22 01:15:00 AM,20.805,2583.4,,,,
15,06/03/22 01:30:00 AM,20.710,2583.4,,,,
16,06/03/22 01:45:00 AM,20.615,2583.4,,,,
17,06/03/22 02:00:00 AM,20.519,2669.5,,,,
18,06/03/22 02:15:00 AM,20.424,2755.6,,,,
19,06/03/22 02:30:00 AM,20.234,2669.5,,,,
20,06/03/22 02:45:00 AM,20.138,2583.4,,,,
21,06/03/22 03:00:00 AM,20.138,2583.4,,,,
22,06/03/22 03:15:00 AM,20.043,2583.4,,,,
23,06/03/22 03:30:00 AM,20.043,2497.2,,,,
24,06/03/22 03:45:00 AM,19.948,2411.1,,,,
25,06/03/22 04:00:00 AM,19.948,2583.4,,,,
26,06/03/22 04:15:00 AM,19.948,2497.2,,,,
27,06/03/22 04:30:00 AM,19.853,2497.2,,,,
28,06/03/22 04:45:00 AM,19.853,2497.2,,,,
29,06/03/22 05:00:00 AM,19.853,2411.1,,,,
30,06/03/22 05:15:00 AM,19.758,2411.1,,,,
31,06/03/22 05:30:00 AM,19.758,2411.1,,,,
32,06/03/22 05:45:00 AM,19.758,2583.4,,,,
33,06/03/22 06:00:00 AM,19.758,2583.4,,,,
34,06/03/22 06:15:00 AM,19.758,2583.4,,,,
35,06/03/22 06:30:00 AM,19.662,2583.4,,,,
36,06/03/22 06:45:00 AM,19.567,2497.2,,,,
37,06/03/22 07:00:00 AM,19.472,2411.1,,,,
38,06/03/22 07:15:00 AM,19.472,2411.1,,,,
39,06/03/22 07:30:00 AM,19.377,2497.2,,,,
40,06/03/22 07:45:00 AM,19.377,2497.2,,,,
41,06/03/22 08:00:00 AM,19.472,2411.1,,,,
42,06/03/22 08:15:00 AM,19.377,2411.1,,,,
43,06/03/22 08:30:00 AM,19.282,2411.1,,,,
44,06/03/22 08:45:00 AM,19.282,2497.2,,,,
45,06/03/22 09:00:00 AM,19.187,2411.1,,,,
46,06/03/22 09:15:00 AM,19.187,2411.1,,,,
47,06/03/22 09:30:00 AM,19.092,2411.1,,,,
48,06/03/22 09:45:00 AM,18.996,2411.1,,,,
49,06/03/22 10:00:00 AM,18.806,2411.1,,,,
50,06/03/22 10:15:00 AM,18.711,2411.1,,,,
51,06/03/22 10:30:00 AM,18.711,2325.0,,,,
52,06/03/22 10:45:00 AM,18.521,2325.0,,,,
53,06/03/22 11:00:00 AM,18.521,2325.0,,,,
54,06/03/22 11:15:00 AM,18.521,2325.0,,,,
55,06/03/22 11:30:00 AM,18.521,2325.0,,,,
56,06/03/22 11:45:00 AM,18.616,2411.1,,,,
57,06/03/22 12:00:00 PM,18.806,2411.1,,,,
58,06/03/22 12:15:00 PM,18.996,2411.1,,,,
59,06/03/22 12:30:00 PM,19.282,2411.1,,,,
60,06/03/22 12:45:00 PM,19.662,2411.1,,,,
61,06/03/22 01:00:00 PM,19.948,2411.1,,,,
62,06/03/22 01:15:00 PM,20.329,2411.1,,,,
63,06/03/22 01:30:00 PM,20.519,2411.1,,,,
64,06/03/22 01:45:00 PM,20.710,2411.1,,,,
65,06/03/22 02:00:00 PM,20.901,2411.1,,,,
66,06/03/22 02:15:00 PM,20.996,2411.1,,,,
67,06/03/22 02:30:00 PM,21.473,2325.0,,,,
68,06/03/22 02:45:00 PM,21.664,2325.0,,,,
69,06/03/22 03:00:00 PM,21.855,2325.0,,,,
70,06/03/22 03:15:00 PM,21.951,2238.9,,,,
71,06/03/22 03:30:00 PM,22.046,2238.9,,,,
72,06/03/22 03:45:00 PM,22.333,2238.9,,,,
73,06/03/22 04:00:00 PM,22.429,2238.9,,,,
74,06/03/22 04:15:00 PM,22.429,2238.9,,,,
75,06/03/22 04:30:00 PM,22.621,2238.9,,,,
76,06/03/22 04:45:00 PM,22.621,2238.9,,,,
77,06/03/22 05:00:00 PM,22.717,2152.8,,,,
78,06/03/22 05:15:00 PM,23.100,2152.8,,,,
79,06/03/22 05:30:00 PM,23.100,2152.8,,,,
80,06/03/22 05:45:00 PM,23.484,2066.7,,,,
81,06/03/22 06:00:00 PM,23.581,1980.6,,,,
82,06/03/22 06:15:00 PM,23.388,1980.6,,,,
83,06/03/22 06:30:00 PM,23.292,1980.6,,,,
84,06/03/22 06:45:00 PM,23.484,1894.5,,,,
85,06/03/22 07:00:00 PM,23.292,1894.5,,,,
86,06/03/22 07:15:00 PM,23.196,1894.5,,,,
87,06/03/22 07:30:00 PM,23.292,1894.5,,,,
88,06/03/22 07:45:00 PM,23.196,1894.5,,,,
89,06/03/22 08:00:00 PM,23.196,1894.5,,,,
90,06/03/22 08:15:00 PM,23.292,1894.5,,,,
91,06/03/22 08:30:00 PM,23.388,1894.5,,,,
92,06/03/22 08:45:00 PM,23.388,1894.5,,,,
93,06/03/22 09:00:00 PM,23.196,1894.5,,,,
94,06/03/22 09:15:00 PM,23.004,1894.5,,,,
95,06/03/22 09:30:00 PM,22.717,1894.5,,,,
96,06/03/22 09:45:00 PM,22.621,1894.5,,,,
97,06/03/22 10:00:00 PM,22.717,1894.5,,,,
98,06/03/22 10:15:00 PM,22.621,1894.5,,,,
99,06/03/22 10:30:00 PM,22.621,1894.5,,,,
100,06/03/22 10:45:00 PM,22.525,1894.5,,,,
101,06/03/22 11:00:00 PM,22.333,1894.5,,,,
102,06/03/22 11:15:00 PM,22.238,1894.5,,,,
103,06/03/22 11:30:00 PM,22.046,1894.5,,,,
104,06/03/22 11:45:00 PM,21.855,1894.5,,,,
105,06/04/22 12:00:00 AM,21.760,1808.3,,,,
106,06/04/22 12:15:00 AM,21.569,1894.5,,,,
107,06/04/22 12:30:00 AM,21.378,1894.5,,,,
108,06/04/22 12:45:00 AM,21.282,1894.5,,,,
109,06/04/22 01:00:00 AM,21.091,1894.5,,,,
110,06/04/22 01:15:00 AM,20.996,1894.5,,,,
